ns,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,sexp,bug
1,4,0.707113464,0.107142857,0.095864662,133.0,0,1,14,0.75,1075,1075,0
1,2,0.40217919,0.00166113,0.03986711,301.0,0,2,0,0.5,2,2,0
1,2,0.193642805,0.238297872,0.046808511,117.5,0,1,16,1.0,1077,1077,0
1,5,0.521722656,0.252933507,0.198174707,153.4,0,1,9,0.6,1082,1082,0
1,2,0.0,0.002293578,0.002293578,218.0,0,1,5,1.0,1085,1085,0
1,1,0.0,0.0,0.0,52.0,0,1,0,1.0,1085,1085,0
1,1,0.0,0.322580645,0.193548387,31.0,0,1,3,1.0,1086,1086,0
1,2,0.322756959,0.023404255,0.012765957,235.0,0,1,3,1.0,1088,1088,0
1,1,0.0,0.09375,0.0,32.0,0,1,0,1.0,1089,1089,0
1,3,0.593426532,0.390410959,0.205479452,48.66666667,0,1,32,1.0,1092,1092,0
1,1,0.0,0.144578313,0.0,83.0,0,1,4,1.0,1093,1093,0
1,1,0.0,0.00591716,0.0,169.0,0,1,2,1.0,1094,1094,0
1,2,0.378241644,0.256603774,0.026415094,265.0,0,1,19,1.0,1105,1105,0
1,9,0.0,0.0,0.0,26.33333333,0,1,0,0.111111111,1105,1105,0
1,1,0.0,0.319148936,0.382978723,47.0,0,1,3,1.0,1106,1106,0
1,5,0.742745733,0.068466096,0.023041475,303.8,0,1,28,0.8,1112,1112,0
1,1,0.0,0.0,0.0,3.0,0,1,0,1.0,1112,1112,0
1,13,0.685690186,0.069617706,0.047082495,191.1538462,1,1,47,0.461538462,1125,1125,0
1,1,0.0,0.058823529,0.058823529,17.0,0,1,19,1.0,1126,1126,0
1,3,0.726805163,0.192393736,0.031319911,149.0,1,1,39,1.0,1129,1129,0
1,19,0.66962599,0.275036284,0.23149492,72.52631579,0,1,214,0.578947368,1158,1158,0
1,10,0.0,0.0,0.0,19.7,0,1,0,0.1,1158,1158,0
1,1,0.0,0.017699115,0.0,113.0,0,1,12,1.0,1159,1159,0
1,1,0.0,0.606060606,0.257575758,66.0,1,1,0,1.0,1160,1160,0
1,1,0.0,0.009259259,0.009259259,108.0,0,1,3,1.0,1161,1161,0
1,4,0.367438038,0.078636959,0.015727392,190.75,1,1,7,0.75,1165,1165,0
1,1,0.0,0.009090909,0.136363636,110.0,0,2,3,1.0,3,3,0
1,1,0.0,0.034090909,0.011363636,176.0,1,1,0,1.0,1166,1166,0
1,2,0.970950594,0.009708738,0.006472492,154.5,0,1,0,1.0,1168,1168,0
1,18,0.875517033,0.081355932,0.081355932,49.16666667,0,1,0,0.111111111,1186,1186,0
1,2,0.258018669,0.054973822,0.005235602,191.0,0,1,1,1.0,1188,1188,0
1,1,0.0,0.0,0.0,24.0,0,1,0,1.0,1196,1196,0
1,7,0.679364547,0.040245947,0.020681945,255.5714286,0,1,12,0.714285714,1196,1196,0
1,1,0.0,0.023904382,0.003984064,251.0,0,1,5,1.0,1197,1197,0
1,3,0.730430285,0.398169336,0.377574371,145.6666667,0,1,19,1.0,1200,1200,0
1,1,0.0,0.006369427,0.0,471.0,0,2,3,1.0,154,154,0
1,1,0.0,0.001331558,0.0,751.0,0,2,3,1.0,4,4,1
1,6,0.66668177,0.135507246,0.034782609,230.0,0,1,31,0.666666667,1206,1206,1
1,1,0.0,0.016393443,0.010928962,183.0,0,2,3,1.0,5,5,0
1,1,0.0,0.035714286,0.05952381,84.0,0,1,17,1.0,1207,1207,0
1,1,0.0,0.036781609,0.009195402,435.0,0,1,11,1.0,1208,1208,0
1,2,0.130162791,0.243902439,0.297560976,102.5,0,1,2,1.0,1210,1210,0
1,16,0.785412179,0.285609934,0.194302411,85.5625,1,1,250,0.3125,1226,1226,0
1,1,0.0,0.072847682,0.072847682,151.0,0,1,5,1.0,1227,1227,0
1,3,0.0,0.0,0.0,97.66666667,0,1,0,0.333333333,1230,1230,0
1,2,0.0,0.0,0.0,50.0,0,1,0,0.5,1232,1232,0
1,1,0.0,0.094117647,0.011764706,170.0,0,1,8,1.0,1233,1233,0
1,1,0.0,0.051724138,0.086206897,58.0,1,1,20,1.0,1234,1234,0
1,5,0.82471122,0.095714286,0.055714286,140.0,0,1,26,1.0,1239,1239,0
1,1,0.0,0.0,0.00990099,101.0,1,1,6,1.0,1240,1240,0
1,6,0.165425748,0.083526682,0.452436195,71.83333333,0,1,61,0.833333333,1247,1247,0
1,1,0.0,0.0,0.0,143.0,0,1,0,1.0,1247,1247,0
1,7,0.720497517,0.054446461,0.022686025,157.4285714,1,1,68,1.0,1254,1254,0
1,13,0.775907453,0.084894614,0.084309133,131.3846154,0,1,103,0.769230769,1267,1267,0
1,2,0.881290899,0.097328244,0.036259542,262.0,0,1,1,1.0,1269,1269,0
1,1,0.0,0.012820513,0.025641026,156.0,0,1,0,1.0,1270,1270,0
1,1,0.0,0.029585799,0.00591716,169.0,0,1,1,1.0,1271,1271,0
1,10,0.881348667,0.176895307,0.064981949,55.4,0,1,10,0.1,1281,1281,0
1,1,0.0,0.1,0.1,10.0,0,1,20,1.0,1282,1282,0
1,1,0.0,0.001937984,0.001937984,516.0,0,1,2,1.0,1283,1283,0
1,1,0.0,0.006993007,0.006993007,143.0,0,1,0,1.0,1284,1284,0
1,1,0.0,0.0,0.0,0.0,0,1,0,1.0,1285,1285,0
1,1,0.0,0.0,0.0,24.0,0,1,0,1.0,1304,1304,0
1,11,0.912192406,0.059472716,0.053341508,148.2727273,0,1,126,0.727272727,1297,1297,0
1,6,0.65871668,0.017582418,0.038827839,227.5,0,1,4,0.666666667,1304,1304,0
1,1,0.0,0.0,0.0,17.0,0,1,0,1.0,1297,1297,0
1,3,0.745726561,0.167760075,0.062792877,355.6666667,0,1,3,0.333333333,1308,1308,0
1,1,0.0,0.0,0.0,7.0,0,1,0,1.0,1308,1308,0
1,5,0.0,0.0,0.0,109.2,0,1,0,0.2,1325,1325,0
1,12,0.0,0.0,0.0,93.75,0,1,138,0.25,1325,1325,1
1,1,0.0,0.555555556,0.185185185,54.0,0,1,20,1.0,1326,1326,0
1,2,0.918295834,0.0,0.048165138,218.0,0,1,0,1.0,1328,1328,0
1,2,0.543564443,0.083333333,0.083333333,24.0,0,1,1,1.0,1330,1330,0
1,2,0.918295834,0.026058632,0.013029316,153.5,0,1,0,1.0,1332,1332,0
1,3,0.920619836,0.012269939,0.024539877,54.33333333,1,1,28,1.0,1335,1335,0
1,1,0.0,0.024590164,0.008196721,122.0,0,1,8,1.0,1336,1336,0
1,1,0.0,0.006160164,0.002053388,487.0,0,1,0,1.0,1337,1337,0
1,1,0.0,0.026086957,0.002898551,345.0,0,1,0,1.0,1338,1338,0
1,1,0.0,0.0,0.013333333,150.0,0,1,0,1.0,1339,1339,0
1,2,0.99107606,0.044213264,0.00260078,384.5,0,2,5,1.0,156,156,0
1,2,0.0,0.0,0.008403361,59.5,0,1,4,1.0,1341,1341,0
1,3,0.930067877,0.027777778,0.072916667,96.0,0,1,29,1.0,1344,1344,0
1,1,0.0,0.047619048,0.056122449,588.0,0,1,1,1.0,1345,1345,0
1,1,0.0,0.01369863,0.003424658,292.0,0,1,1,1.0,157,157,0
1,1,0.0,0.003984064,0.0,753.0,0,2,2,1.0,158,158,0
1,3,0.288448437,0.61352657,0.212560386,69.0,0,1,54,1.0,1348,1348,0
1,1,0.0,0.0,0.196969697,132.0,0,2,5,1.0,159,159,0
1,1,0.0,0.068965517,0.068965517,29.0,0,1,1,1.0,1349,1349,0
1,4,0.732236192,0.065488565,0.083160083,240.5,0,1,4,0.75,1353,1353,0
1,2,1.0,0.004264392,0.004264392,234.5,0,1,2,1.0,1355,1355,0
1,1,0.0,0.139534884,0.627906977,86.0,0,1,21,1.0,1356,1356,0
1,1,0.0,0.007968127,0.007968127,251.0,0,1,2,1.0,1357,1357,0
1,1,0.0,0.0,0.024096386,166.0,0,1,2,1.0,1358,1358,0
1,2,0.779349837,0.454545455,0.53030303,33.0,0,1,21,1.0,1360,1360,0
1,4,0.263002583,0.067264574,0.056053812,223.0,1,1,6,1.0,1364,1364,0
1,1,0.0,0.006993007,0.006993007,143.0,1,1,2,1.0,1365,1365,0
1,1,0.0,0.00397351,0.0,755.0,0,2,1,1.0,160,160,0
1,1,0.0,0.0,0.0,43.0,0,1,0,1.0,1367,1367,0
1,1,0.0,0.005780347,0.0,519.0,0,1,0,1.0,1367,1367,0
1,3,0.579380164,0.006589786,0.008237232,202.3333333,0,1,0,1.0,1370,1370,0
1,1,0.0,0.22,0.02,50.0,0,1,0,1.0,1371,1371,0
1,1,0.0,0.613941019,0.525469169,373.0,0,1,4,1.0,1372,1372,0
1,4,0.591544457,0.144886364,0.085227273,176.0,0,1,85,0.75,1376,1376,0
1,3,0.108001983,0.270471464,0.1191067,134.3333333,0,1,7,0.666666667,1379,1379,0
1,1,0.0,0.0,0.010869565,92.0,0,1,3,1.0,1380,1380,0
1,4,0.929939344,0.101369863,0.295890411,91.25,0,1,69,0.75,1384,1384,0
1,1,0.0,0.010416667,0.0,96.0,0,1,23,1.0,1385,1385,0
1,3,0.924296611,0.042253521,0.026408451,189.3333333,0,1,25,1.0,1388,1388,0
1,1,0.0,0.055555556,0.069444444,144.0,0,1,1,1.0,1389,1389,0
1,1,0.0,0.0,0.0,0.0,0,1,21,1.0,1390,1390,0
1,10,0.687837029,0.152683296,0.123960695,132.3,1,1,96,0.9,1400,1400,0
1,2,0.970950594,0.005263158,0.003508772,285.0,0,1,6,1.0,1402,1402,0
1,6,0.304757112,0.118027486,0.086499596,206.1666667,0,1,33,0.833333333,1408,1408,0
1,2,0.448864489,0.055865922,0.003724395,268.5,0,1,7,1.0,1410,1410,0
1,2,0.650022422,0.024427481,0.003053435,327.5,0,1,4,1.0,1412,1412,0
1,1,0.0,0.158940397,0.013245033,151.0,0,1,24,1.0,1413,1413,0
1,1,0.0,0.180851064,0.010638298,188.0,0,1,4,1.0,1414,1414,0
1,2,0.999010271,0.076923077,0.21978022,45.5,0,1,6,1.0,1416,1416,0
1,11,0.655734109,0.117302053,0.135316297,217.0,0,1,44,0.454545455,1427,1427,1
1,2,0.811278124,0.042813456,0.006116208,327.0,0,1,6,0.5,1429,1429,0
1,1,0.0,0.089918256,0.089918256,367.0,0,1,3,1.0,1430,1430,0
1,1,0.0,0.074468085,0.042553191,94.0,0,1,3,1.0,1431,1431,0
1,3,0.781659665,0.016786571,0.014388489,139.0,0,1,6,0.666666667,1434,1434,0
1,13,0.576462789,0.083113456,0.014511873,58.30769231,0,1,73,0.615384615,1447,1447,0
1,1,0.0,0.019230769,0.019230769,52.0,1,1,1,1.0,1448,1448,0
1,1,0.0,0.086715867,0.014760148,542.0,0,1,3,1.0,1449,1449,0
1,2,0.999142104,0.134281201,0.003159558,316.5,0,1,41,1.0,1451,1451,0
1,7,0.951411798,0.014892033,0.014892033,191.8571429,0,1,55,0.571428571,1458,1458,0
1,63,0.989972742,0.037925862,0.040711378,74.07936508,0,1,1061,0.412698413,1521,1521,0
1,1,0.0,0.021276596,0.021276596,47.0,0,1,6,1.0,1522,1522,0
1,1,0.0,0.003731343,0.003731343,268.0,0,1,7,1.0,1523,1523,0
1,92,0.968007555,0.034282555,0.042438485,78.63043478,0,1,1345,0.315217391,1615,1615,0
1,34,0.953651132,0.075376884,0.06588498,52.67647059,0,1,367,0.441176471,1649,1649,0
1,80,0.726654106,0.063026845,0.052133316,96.3875,0,1,1283,0.3875,1730,1730,0
1,1,0.0,0.0,0.0,32.0,0,1,0,1.0,1730,1730,0
1,1,0.0,0.002487562,0.002487562,402.0,0,1,0,1.0,1731,1731,0
1,83,0.974370256,0.05450057,0.039688568,63.44578313,0,1,1393,0.385542169,1859,1859,0
1,1,0.0,0.0,0.0,5.0,0,1,0,1.0,1776,1776,0
1,44,0.985628122,0.056259905,0.065768621,57.36363636,0,1,737,0.522727273,1776,1776,1
1,16,0.926484166,0.04398827,0.045454545,85.25,0,1,291,0.375,1875,1875,0
1,3,0.624186839,0.117142857,0.094285714,116.6666667,0,1,26,0.666666667,1879,1879,0
1,1,0.0,0.0,0.0,30.0,0,1,0,1.0,1879,1879,0
1,2,0.867507134,0.091928251,0.195067265,223.0,0,1,0,1.0,1881,1881,0
1,1,0.0,0.111111111,0.111111111,81.0,0,1,26,1.0,1882,1882,0
1,3,0.851954213,0.03559322,0.047457627,196.6666667,0,1,0,1.0,1886,1886,0
1,1,0.0,0.0,0.0,18.0,0,1,0,1.0,1886,1886,0
1,1,0.0,0.001828154,0.001828154,547.0,1,1,1,1.0,1887,1887,0
1,1,0.0,0.098360656,0.081967213,61.0,0,1,1,1.0,1888,1888,0
1,29,0.998981868,0.029101996,0.040742794,124.4137931,0,1,358,0.379310345,1917,1917,0
1,3,0.692181495,0.076271186,0.220338983,39.33333333,0,1,17,1.0,1920,1920,0
1,1,0.0,0.007246377,0.297101449,138.0,0,1,1,1.0,1921,1921,0
1,1,0.0,0.235294118,0.156862745,51.0,0,1,1,1.0,1922,1922,0
1,2,0.0,0.003656307,0.003656307,273.5,0,1,1,1.0,1925,1925,0
1,1,0.0,0.0,0.0,2.0,0,1,0,1.0,1925,1925,0
1,3,0.956501493,0.076923077,0.033846154,108.3333333,0,1,2,1.0,1928,1928,0
1,1,0.0,0.016393443,0.016393443,61.0,1,1,0,1.0,1929,1929,0
1,1,0.0,0.02,0.02,50.0,0,1,1,1.0,1930,1930,0
1,3,0.986270709,0.010964912,0.041666667,152.0,0,1,3,0.333333333,1933,1933,0
1,1,0.0,0.046783626,0.040935673,342.0,1,1,1,1.0,1934,1934,0
1,1,0.0,0.011560694,0.011560694,173.0,0,1,1,1.0,1935,1935,0
1,6,0.696834912,0.192259675,0.014981273,133.5,0,1,6,0.333333333,1941,1941,0
1,8,0.0,0.0,0.0,33.125,0,1,0,0.125,1953,1953,0
1,4,0.0,0.016,0.008,31.25,0,1,3,0.5,1953,1953,0
1,1,0.0,0.039812646,0.004683841,427.0,0,1,0,1.0,1954,1954,0
1,33,0.992832927,0.021726535,0.029837775,104.6060606,0,3,337,0.242424242,38,38,0
1,1,0.0,1.0,1.0,2.0,0,1,0,1.0,1955,1955,0
1,60,0.990747313,0.034212002,0.044587773,59.43333333,0,1,995,0.383333333,2015,2015,0
1,1,0.0,0.008196721,0.114754098,122.0,0,1,1,1.0,2016,2016,0
1,1,0.0,0.217948718,0.243589744,78.0,0,1,1,1.0,2017,2017,0
1,1,0.0,0.027777778,0.027777778,36.0,0,1,1,1.0,2020,2020,0
